binary_package	binary_version	source_package	source_version
libpq5	14.22-0ubuntu0.22.04.1	postgresql-14	14.22-0ubuntu0.22.04.1
libprocps8	2:3.3.17-6ubuntu2.1	procps	2:3.3.17-6ubuntu2.1
libproxy-dev	0.4.17-2	libproxy	0.4.17-2
libproxy1v5	0.4.17-2	libproxy	0.4.17-2
libpsl5	0.21.0-1.2build2	libpsl	0.21.0-1.2build2
libpthread-stubs0-dev	0.4-1build2	libpthread-stubs	0.4-1build2
libpulse-dev	1:15.99.1+dfsg1-1ubuntu2.2	pulseaudio	1:15.99.1+dfsg1-1ubuntu2.2
libpulse-mainloop-glib0	1:15.99.1+dfsg1-1ubuntu2.2	pulseaudio	1:15.99.1+dfsg1-1ubuntu2.2
libpulse0	1:15.99.1+dfsg1-1ubuntu2.2	pulseaudio	1:15.99.1+dfsg1-1ubuntu2.2
libqt5concurrent5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5core5a	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5dbus5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5gui5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5help5	5.15.3-1	qttools-opensource-src	5.15.3-1
libqt5network5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5printsupport5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5sql5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5sql5-sqlite	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5test5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5widgets5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libqt5xml5	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
libquadmath0	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libreadline8	8.1.2-1	readline	8.1.2-1
librhash0	1.4.2-1ubuntu1	rhash	1.4.2-1ubuntu1
librtmp1	2.4+20151223.gitfa8646d.1-2build4	rtmpdump	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2	cyrus-sasl2	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2	cyrus-sasl2	2.1.27+dfsg2-3ubuntu1.2
libseccomp2	2.5.3-2ubuntu3~22.04.1	libseccomp	2.5.3-2ubuntu3~22.04.1
